OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
194;ANDINA;CUNDINAMARCA;GACHALÁ;25293;Moderada;06/09/2026;17.7;171.8;30.0;2
195;ANDINA;CUNDINAMARCA;GAMA;25299;Moderada;06/09/2026;18.9;138.9;29.0;2
196;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Moderada;06/09/2026;11.1;246.3;29.0;2
197;ANDINA;CUNDINAMARCA;GUTIÉRREZ;25339;Moderada;06/09/2026;5.3;101.0;26.0;2
198;ANDINA;CUNDINAMARCA;JUNÍN;25372;Moderada;06/09/2026;9.6;67.7;29.0;2
199;ANDINA;CUNDINAMARCA;MEDINA;25438;Moderada;06/09/2026;8.7;102.4;28.0;2
200;ANDINA;CUNDINAMARCA;QUETAME;25594;Moderada;06/09/2026;7.6;199.9;29.0;2
201;ANDINA;CUNDINAMARCA;UBALÁ;25839;Moderada;06/09/2026;12.7;160.3;29.0;2
202;CARIBE;CÓRDOBA;PUERTO LIBERTADOR;23580;Moderada;06/09/2026;20.3;151.8;21.0;2
203;CARIBE;CÓRDOBA;SAN JOSÉ DE URÉ;23682;Moderada;06/09/2026;30.6;204.0;20.0;2
204;ORINOQUÍA;META;ACACÍAS;50006;Moderada;06/09/2026;16.6;138.2;27.0;2
205;ORINOQUÍA;META;CUMARAL;50226;Moderada;06/09/2026;4.9;87.0;24.0;2
206;ORINOQUÍA;META;EL CALVARIO;50245;Moderada;06/09/2026;28.2;171.2;30.0;2
207;ORINOQUÍA;META;EL CASTILLO;50251;Moderada;06/09/2026;15.7;140.3;26.0;2
208;ORINOQUÍA;META;GUAMAL;50318;Moderada;06/09/2026;16.3;108.2;26.0;2
209;ORINOQUÍA;META;LEJANÍAS;50400;Moderada;06/09/2026;12.6;154.1;27.0;2
210;ORINOQUÍA;META;MESETAS;50330;Moderada;06/09/2026;21.8;136.6;26.0;2
211;ORINOQUÍA;META;RESTREPO;50606;Moderada;06/09/2026;24.6;156.7;28.0;2
212;ORINOQUÍA;META;SAN JUANITO;50686;Moderada;06/09/2026;29.2;165.1;30.0;2
213;ORINOQUÍA;META;VILLAVICENCIO;50001;Moderada;06/09/2026;15.4;93.3;25.0;2
214;PACÍFICO;NARIÑO;EL CHARCO;52250;Moderada;06/09/2026;37.7;91.3;20.0;2
215;PACÍFICO;NARIÑO;FRANCISCO PIZARRO;52520;Moderada;06/09/2026;43.7;247.8;29.0;2
216;PACÍFICO;NARIÑO;ROBERTO PAYÁN;52621;Moderada;06/09/2026;35.8;227.6;29.0;2
217;PACÍFICO;NARIÑO;SANTA BÁRBARA;52696;Moderada;06/09/2026;41.9;80.3;21.0;2
218;ANDINA;NORTE DE SANTANDER;CHITAGÁ;54174;Moderada;06/09/2026;23.8;52.3;28.0;2
219;AMAZONÍA;PUTUMAYO;ORITO;86320;Moderada;06/09/2026;21.0;45.2;27.0;2
220;ANDINA;RISARALDA;MISTRATÓ;66456;Moderada;06/09/2026;36.0;68.9;16.0;2
221;ANDINA;RISARALDA;PUEBLO RICO;66572;Moderada;06/09/2026;40.0;77.7;15.0;2
222;PACÍFICO;VALLE DEL CAUCA;CALIMA;76126;Moderada;06/09/2026;34.5;51.8;17.0;2
